solar_cf,wind_cf,price
0.0,0.086,96.8
0.0,0.084,96.8
0.0,0.079,96.8
0.0,0.081,96.8
0.0,0.086,96.8
0.0,0.091,96.8
0.0,0.095,96.8
0.0,0.093,96.8
0.033,0.084,96.8
0.122,0.063,96.8
0.243,0.052,96.8
0.32,0.062,96.8
0.339,0.071,96.8
0.24,0.067,96.8
0.1,0.068,96.8
0.0,0.076,96.8
0.0,0.089,96.8
0.0,0.105,96.8
0.0,0.119,96.8
0.0,0.126,96.8
0.0,0.127,96.8
0.0,0.131,96.8
0.0,0.134,96.8
0.0,0.138,96.8
0.0,0.138,96.8
0.0,0.13,96.8
0.0,0.121,96.8
0.0,0.115,96.8
0.0,0.105,96.8
0.0,0.099,96.8
0.0,0.099,96.8
0.0,0.094,96.8
0.037,0.083,96.8
0.112,0.053,96.8
0.189,0.029,96.8
0.235,0.018,96.8
0.208,0.012,96.8
0.137,0.008,96.8
0.054,0.005,96.8
0.0,0.004,96.8
0.0,0.005,96.8
0.0,0.009,96.8
0.0,0.017,96.8
0.0,0.029,96.8
0.0,0.047,96.8
0.0,0.067,96.8
0.0,0.09,96.8
0.0,0.127,96.8
0.0,0.168,96.8
0.0,0.188,96.8
0.0,0.195,96.8
0.0,0.183,96.8
0.0,0.18,96.8
0.0,0.2,96.8
0.0,0.212,96.8
0.0,0.235,96.8
0.044,0.211,96.8
0.117,0.175,96.8
0.207,0.231,96.8
0.212,0.296,96.8
0.136,0.337,96.8
0.06,0.343,96.8
0.013,0.352,96.8
0.0,0.329,96.8
0.0,0.295,96.8
0.0,0.279,96.8
0.0,0.264,96.8
0.0,0.233,96.8
0.0,0.201,96.8
0.0,0.175,96.8
0.0,0.156,96.8
0.0,0.147,96.8
0.0,0.149,96.8
0.0,0.155,96.8
0.0,0.158,96.8
0.0,0.16,96.8
0.0,0.169,96.8
0.0,0.163,96.8
0.0,0.16,96.8
0.0,0.168,96.8
0.033,0.153,96.8
0.097,0.122,96.8
0.152,0.132,96.8
0.174,0.143,96.8
0.154,0.145,96.8
0.097,0.144,96.8
0.035,0.167,96.8
0.0,0.221,96.8
0.0,0.237,96.8
0.0,0.234,96.8
0.0,0.216,96.8
0.0,0.204,96.8
0.0,0.182,96.8
0.0,0.172,96.8
0.0,0.167,96.8
0.0,0.168,96.8
0.0,0.169,96.8
0.0,0.168,96.8
0.0,0.181,96.8
0.0,0.18,96.8
0.0,0.183,96.8
0.0,0.185,96.8
0.0,0.167,96.8
0.0,0.155,96.8
0.117,0.128,96.8
0.284,0.093,96.8
0.378,0.101,96.8
0.387,0.106,96.8
0.285,0.123,96.8
0.138,0.149,96.8
0.038,0.172,96.8
0.0,0.243,96.8
0.0,0.272,96.8
0.0,0.261,96.8
0.0,0.249,96.8
0.0,0.235,96.8
0.0,0.195,96.8
0.0,0.184,96.8
0.0,0.192,96.8
0.0,0.197,96.8
0.0,0.204,96.8
0.0,0.204,96.8
0.0,0.209,96.8
0.0,0.219,96.8
0.0,0.217,96.8
0.0,0.205,96.8
0.0,0.202,96.8
0.0,0.192,96.8
0.021,0.148,96.8
0.102,0.104,96.8
0.211,0.092,96.8
0.27,0.088,96.8
0.249,0.093,96.8
0.131,0.098,96.8
0.038,0.113,96.8
0.0,0.149,96.8
0.0,0.172,96.8
0.0,0.173,96.8
0.0,0.16,96.8
0.0,0.144,96.8
0.0,0.131,96.8
0.0,0.113,96.8
0.0,0.104,96.8
0.0,0.106,96.8
0.0,0.119,96.8
0.0,0.142,96.8
0.0,0.168,96.8
0.0,0.186,96.8
0.0,0.194,96.8
0.0,0.203,96.8
0.0,0.22,96.8
0.0,0.227,96.8
0.019,0.214,96.8
0.054,0.197,96.8
0.073,0.211,96.8
0.069,0.231,96.8
0.049,0.212,96.8
0.026,0.187,96.8
0.004,0.199,96.8
0.0,0.238,96.8
0.0,0.265,96.8
0.0,0.274,96.8
0.0,0.28,96.8
0.0,0.284,96.8
0.0,0.289,96.8
0.0,0.3,96.8
0.0,0.311,96.8
0.0,0.314,96.8
0.0,0.311,96.8
0.0,0.301,96.8
0.0,0.288,96.8
0.0,0.261,96.8
0.0,0.233,96.8
0.0,0.209,96.8
0.0,0.191,96.8
0.0,0.174,96.8
0.0,0.152,96.8
0.018,0.128,96.8
0.033,0.121,96.8
0.038,0.124,96.8
0.041,0.118,96.8
0.035,0.101,96.8
0.017,0.084,96.8
0.0,0.093,96.8
0.0,0.098,96.8
0.0,0.099,96.8
0.0,0.093,96.8
0.0,0.086,96.8
0.0,0.078,96.8
0.0,0.072,96.8
0.0,0.076,96.8
0.0,0.087,96.8
0.0,0.099,96.8
0.0,0.101,96.8
0.0,0.094,96.8
0.0,0.09,96.8
0.0,0.092,96.8
0.0,0.084,96.8
0.0,0.067,96.8
0.0,0.05,96.8
0.028,0.035,96.8
0.097,0.023,96.8
0.151,0.023,96.8
0.184,0.028,96.8
0.169,0.038,96.8
0.118,0.041,96.8
0.052,0.04,96.8
0.0,0.045,96.8
0.0,0.041,96.8
0.0,0.04,96.8
0.0,0.045,96.8
0.0,0.05,96.8
0.0,0.056,96.8
0.0,0.052,96.8
0.0,0.039,96.8
0.0,0.03,96.8
0.0,0.032,96.8
0.0,0.036,96.8
0.0,0.037,96.8
0.0,0.035,96.8
0.0,0.027,96.8
0.0,0.018,96.8
0.0,0.011,96.8
0.0,0.007,96.8
0.051,0.008,96.8
0.141,0.01,96.8
0.242,0.009,96.8
0.303,0.01,96.8
0.324,0.013,96.8
0.247,0.017,96.8
0.094,0.023,96.8
0.001,0.034,96.8
0.0,0.048,96.8
0.0,0.067,96.8
0.0,0.092,96.8
0.0,0.12,96.8
0.0,0.145,96.8
0.0,0.17,96.8
0.0,0.194,96.8
0.0,0.22,96.8
0.0,0.233,96.8
0.0,0.237,96.8
0.0,0.251,96.8
0.0,0.259,96.8
0.0,0.278,96.8
0.0,0.291,96.8
0.0,0.312,96.8
0.0,0.334,96.8
0.11,0.327,96.8
0.198,0.291,96.8
0.22,0.31,96.8
0.234,0.41,96.8
0.22,0.441,96.8
0.112,0.464,96.8
0.029,0.509,96.8
0.0,0.557,96.8
0.0,0.581,96.8
0.0,0.603,96.8
0.0,0.618,96.8
0.0,0.666,96.8
0.0,0.698,96.8
0.0,0.684,96.8
0.0,0.684,96.8
0.0,0.73,96.8
0.0,0.759,96.8
0.0,0.76,96.8
0.0,0.786,96.8
0.0,0.814,96.8
0.0,0.822,96.8
0.0,0.813,96.8
0.0,0.811,96.8
0.0,0.786,96.8
0.0,0.728,96.8
0.011,0.621,96.8
0.034,0.454,96.8
0.05,0.4,96.8
0.065,0.442,96.8
0.059,0.451,96.8
