solar_cf,wind_cf,price
0.0,0.045,89.2
0.0,0.055,89.2
0.0,0.068,89.2
0.0,0.08,89.2
0.0,0.087,89.2
0.0,0.093,89.2
0.0,0.094,89.2
0.0,0.085,89.2
0.055,0.068,89.2
0.216,0.048,89.2
0.37,0.034,89.2
0.437,0.027,89.2
0.421,0.028,89.2
0.349,0.035,89.2
0.197,0.044,89.2
0.044,0.045,89.2
0.0,0.041,89.2
0.0,0.035,89.2
0.0,0.025,89.2
0.0,0.016,89.2
0.0,0.01,89.2
0.0,0.007,89.2
0.0,0.008,89.2
0.0,0.012,89.2
0.0,0.019,89.2
0.0,0.028,89.2
0.0,0.037,89.2
0.0,0.045,89.2
0.0,0.054,89.2
0.0,0.068,89.2
0.0,0.082,89.2
0.0,0.097,89.2
0.002,0.128,89.2
0.023,0.169,89.2
0.042,0.198,89.2
0.054,0.223,89.2
0.083,0.24,89.2
0.06,0.261,89.2
0.032,0.298,89.2
0.001,0.334,89.2
0.0,0.337,89.2
0.0,0.308,89.2
0.0,0.255,89.2
0.0,0.203,89.2
0.0,0.161,89.2
0.0,0.136,89.2
0.0,0.132,89.2
0.0,0.145,89.2
0.0,0.17,89.2
0.0,0.192,89.2
0.0,0.192,89.2
0.0,0.172,89.2
0.0,0.164,89.2
0.0,0.192,89.2
0.0,0.238,89.2
0.0,0.277,89.2
0.0,0.281,89.2
0.03,0.253,89.2
0.085,0.205,89.2
0.138,0.164,89.2
0.184,0.149,89.2
0.142,0.159,89.2
0.077,0.195,89.2
0.016,0.256,89.2
0.0,0.315,89.2
0.0,0.37,89.2
0.0,0.425,89.2
0.0,0.477,89.2
0.0,0.513,89.2
0.0,0.552,89.2
0.0,0.583,89.2
0.0,0.621,89.2
0.0,0.658,89.2
0.0,0.685,89.2
0.0,0.69,89.2
0.0,0.668,89.2
0.0,0.638,89.2
0.0,0.61,89.2
0.0,0.586,89.2
0.0,0.58,89.2
0.0,0.593,89.2
0.018,0.59,89.2
