,solar_cf,wind_cf,price
2019-01-01 00:00:00,0.0,0.472,40.087852435116545
2019-01-01 01:00:00,0.0,0.503,54.62801532977477
2019-01-01 02:00:00,0.0,0.527,64.47532856387105
2019-01-01 03:00:00,0.0,0.557,64.33921118092383
2019-01-01 04:00:00,0.0,0.609,45.285798187939555
2019-01-01 05:00:00,0.0,0.63,58.65468043177897
2019-01-01 06:00:00,0.0,0.656,57.585090814237
2019-01-01 07:00:00,0.0,0.651,53.88007558654883
2019-01-01 08:00:00,0.0,0.627,46.80050979317166
2019-01-01 09:00:00,0.02,0.574,59.798633002496175
2019-01-01 10:00:00,0.125,0.543,26.42436776141731
2019-01-01 11:00:00,0.201,0.55,40.63108425510185
2019-01-01 12:00:00,0.34,0.576,42.90267356038397
2019-01-01 13:00:00,0.277,0.572,34.44942801701571
2019-01-01 14:00:00,0.118,0.568,41.633859416822936
2019-01-01 15:00:00,0.0,0.625,34.77110507944223
2019-01-01 16:00:00,0.0,0.685,67.83753653266294
2019-01-01 17:00:00,0.0,0.753,40.54985156343128
2019-01-01 18:00:00,0.0,0.776,44.85074862562389
2019-01-01 19:00:00,0.0,0.774,28.929630111146196
2019-01-01 20:00:00,0.0,0.768,24.211255960498686
2019-01-01 21:00:00,0.0,0.74,37.82220212315626
2019-01-01 22:00:00,0.0,0.733,0.2388947223673199
2019-01-01 23:00:00,0.0,0.728,53.2884003983761
2019-01-02 00:00:00,0.0,0.751,52.386579522229795
2019-01-02 01:00:00,0.0,0.752,50.45943518335618
2019-01-02 02:00:00,0.0,0.752,51.630269549643685
2019-01-02 03:00:00,0.0,0.72,54.196187901001686
2019-01-02 04:00:00,0.0,0.69,43.2008384192592
2019-01-02 05:00:00,0.0,0.669,40.359429677931416
2019-01-02 06:00:00,0.0,0.629,40.95034466916216
2019-01-02 07:00:00,0.0,0.633,45.016655358064305
2019-01-02 08:00:00,0.057,0.608,62.476502539720514
2019-01-02 09:00:00,0.204,0.546,50.9645074959372
2019-01-02 10:00:00,0.324,0.49,32.58821015325679
2019-01-02 11:00:00,0.35,0.529,33.655575441063306
2019-01-02 12:00:00,0.358,0.516,30.77096130884336
2019-01-02 13:00:00,0.262,0.444,47.669362714328344
2019-01-02 14:00:00,0.115,0.394,51.463901829943104
2019-01-02 15:00:00,0.0,0.414,39.89407997142431
2019-01-02 16:00:00,0.0,0.427,26.46906031550096
2019-01-02 17:00:00,0.0,0.386,23.221184170520537
2019-01-02 18:00:00,0.0,0.333,16.105376173548965
2019-01-02 19:00:00,0.0,0.29,20.488276548938227
2019-01-02 20:00:00,0.0,0.267,41.109405780916795
2019-01-02 21:00:00,0.0,0.261,34.96350703083197
2019-01-02 22:00:00,0.0,0.264,56.56464502183231
2019-01-02 23:00:00,0.0,0.27,31.116360884907383
2019-01-03 00:00:00,0.0,0.269,64.765002195075
2019-01-03 01:00:00,0.0,0.258,39.49511913651728
2019-01-03 02:00:00,0.0,0.251,60.61682298917471
2019-01-03 03:00:00,0.0,0.261,41.42838791278238
2019-01-03 04:00:00,0.0,0.281,37.252193103824794
2019-01-03 05:00:00,0.0,0.295,40.35716890380913
2019-01-03 06:00:00,0.0,0.295,54.49945880654575
2019-01-03 07:00:00,0.0,0.298,54.662564285735186
2019-01-03 08:00:00,0.023,0.292,67.81284693605436
2019-01-03 09:00:00,0.093,0.255,43.8184734285561
2019-01-03 10:00:00,0.151,0.198,33.58351945354437
2019-01-03 11:00:00,0.224,0.219,36.98596569379872
2019-01-03 12:00:00,0.172,0.227,60.45519651097263
2019-01-03 13:00:00,0.106,0.207,15.36105431821926
2019-01-03 14:00:00,0.048,0.209,41.43939552434784
2019-01-03 15:00:00,0.0,0.252,41.36558792288011
2019-01-03 16:00:00,0.0,0.284,18.487891295135896
2019-01-03 17:00:00,0.0,0.295,27.014691141892243
2019-01-03 18:00:00,0.0,0.291,26.754751956253223
2019-01-03 19:00:00,0.0,0.251,27.81485721402829
2019-01-03 20:00:00,0.0,0.205,36.39219143855149
2019-01-03 21:00:00,0.0,0.213,18.39710167639606
2019-01-03 22:00:00,0.0,0.241,58.54479225201877
2019-01-03 23:00:00,0.0,0.221,48.50526974474319
2019-01-04 00:00:00,0.0,0.194,36.23054276885597
2019-01-04 01:00:00,0.0,0.17,32.8015266830772
2019-01-04 02:00:00,0.0,0.18,25.90743521432722
2019-01-04 03:00:00,0.0,0.195,28.42754083094991
2019-01-04 04:00:00,0.0,0.227,52.44176968348824
2019-01-04 05:00:00,0.0,0.291,51.80163681278279
2019-01-04 06:00:00,0.0,0.352,19.979562847998075
2019-01-04 07:00:00,0.0,0.386,47.61953643207626
2019-01-04 08:00:00,0.005,0.396,56.73798314466392
2019-01-04 09:00:00,0.07,0.387,66.00894422951929
2019-01-04 10:00:00,0.133,0.376,43.88048692700371
2019-01-04 11:00:00,0.147,0.412,43.74818627768435
2019-01-04 12:00:00,0.134,0.414,45.85109928516104
2019-01-04 13:00:00,0.063,0.406,34.41710845937605
2019-01-04 14:00:00,0.014,0.388,51.68051155984277
2019-01-04 15:00:00,0.0,0.393,28.76644532336502
2019-01-04 16:00:00,0.0,0.386,23.074658552050455
2019-01-04 17:00:00,0.0,0.401,40.69696619773405
