solar_cf,wind_cf,price
0.0,0.188,32.1
0.0,0.192,32.1
0.0,0.192,32.1
0.0,0.184,32.1
0.0,0.173,32.1
0.0,0.16,32.1
0.0,0.145,32.1
0.0,0.135,32.1
0.01,0.134,32.1
0.058,0.148,32.1
0.109,0.153,32.1
0.16,0.152,32.1
0.221,0.146,32.1
0.216,0.134,32.1
0.118,0.131,32.1
0.0,0.166,32.1
0.0,0.22,32.1
0.0,0.293,32.1
0.0,0.361,32.1
0.0,0.397,32.1
0.0,0.386,32.1
0.0,0.328,32.1
0.0,0.255,32.1
0.0,0.215,32.1
0.0,0.207,32.1
0.0,0.214,32.1
0.0,0.226,32.1
0.0,0.237,32.1
0.0,0.249,32.1
0.0,0.27,32.1
0.0,0.289,32.1
0.0,0.316,32.1
0.0,0.334,32.1
0.012,0.333,32.1
0.038,0.36,32.1
0.061,0.371,32.1
0.063,0.391,32.1
0.043,0.432,32.1
0.012,0.503,32.1
0.0,0.537,32.1
0.0,0.555,32.1
0.0,0.584,32.1
0.0,0.666,32.1
0.0,0.677,32.1
0.0,0.682,32.1
0.0,0.724,32.1
0.0,0.744,32.1
0.0,0.72,32.1
0.0,0.711,32.1
0.0,0.741,32.1
0.0,0.79,32.1
0.0,0.793,32.1
0.0,0.801,32.1
0.0,0.815,32.1
0.0,0.811,32.1
0.0,0.819,32.1
0.0,0.752,32.1
0.009,0.682,32.1
0.026,0.699,32.1
0.033,0.697,32.1
0.027,0.652,32.1
0.014,0.574,32.1
0.0,0.61,32.1
0.0,0.682,32.1
0.0,0.614,32.1
0.0,0.571,32.1
0.0,0.593,32.1
0.0,0.566,32.1
0.0,0.484,32.1
0.0,0.498,32.1
0.0,0.541,32.1
0.0,0.58,32.1
0.0,0.591,32.1
0.0,0.583,32.1
0.0,0.605,32.1
0.0,0.623,32.1
0.0,0.635,32.1
0.0,0.649,32.1
0.0,0.657,32.1
0.0,0.653,32.1
0.003,0.636,32.1
0.067,0.613,32.1
0.174,0.622,32.1
0.196,0.691,32.1
0.178,0.71,32.1
0.082,0.661,32.1
0.015,0.59,32.1
0.0,0.513,32.1
0.0,0.487,32.1
0.0,0.466,32.1
0.0,0.412,32.1
0.0,0.379,32.1
0.0,0.343,32.1
0.0,0.308,32.1
0.0,0.27,32.1
0.0,0.225,32.1
0.0,0.203,32.1
0.0,0.201,32.1
0.0,0.214,32.1
0.0,0.241,32.1
0.0,0.285,32.1
0.0,0.341,32.1
0.0,0.381,32.1
0.0,0.401,32.1
0.022,0.394,32.1
0.076,0.362,32.1
0.12,0.332,32.1
0.144,0.313,32.1
0.158,0.326,32.1
0.123,0.334,32.1
0.04,0.357,32.1
0.0,0.393,32.1
0.0,0.403,32.1
0.0,0.414,32.1
0.0,0.425,32.1
0.0,0.425,32.1
0.0,0.419,32.1
0.0,0.424,32.1
0.0,0.425,32.1
0.0,0.411,32.1
0.0,0.407,32.1
0.0,0.403,32.1
0.0,0.411,32.1
0.0,0.413,32.1
0.0,0.416,32.1
0.0,0.42,32.1
0.0,0.454,32.1
0.0,0.464,32.1
0.033,0.445,32.1
0.166,0.399,32.1
0.38,0.375,32.1
0.488,0.367,32.1
0.465,0.422,32.1
0.368,0.435,32.1
0.185,0.447,32.1
0.009,0.544,32.1
0.0,0.609,32.1
0.0,0.613,32.1
0.0,0.598,32.1
0.0,0.568,32.1
0.0,0.568,32.1
0.0,0.583,32.1
0.0,0.606,32.1
0.0,0.655,32.1
0.0,0.624,32.1
0.0,0.556,32.1
0.0,0.519,32.1
0.0,0.454,32.1
0.0,0.413,32.1
0.0,0.367,32.1
0.0,0.319,32.1
0.0,0.311,32.1
0.005,0.335,32.1
0.022,0.334,32.1
0.039,0.378,32.1
0.051,0.442,32.1
0.033,0.454,32.1
0.024,0.494,32.1
0.009,0.567,32.1
0.0,0.633,32.1
0.0,0.647,32.1
0.0,0.697,32.1
0.0,0.728,32.1
0.0,0.75,32.1
0.0,0.761,32.1
0.0,0.78,32.1
0.0,0.798,32.1
0.0,0.812,32.1
0.0,0.809,32.1
0.0,0.803,32.1
0.0,0.791,32.1
0.0,0.786,32.1
0.0,0.746,32.1
0.0,0.711,32.1
0.0,0.692,32.1
0.0,0.643,32.1
0.003,0.559,32.1
0.034,0.513,32.1
0.092,0.443,32.1
0.165,0.402,32.1
0.182,0.391,32.1
0.108,0.339,32.1
0.023,0.294,32.1
0.0,0.297,32.1
0.0,0.281,32.1
0.0,0.228,32.1
0.0,0.179,32.1
0.0,0.145,32.1
0.0,0.108,32.1
0.0,0.083,32.1
0.0,0.089,32.1
0.0,0.158,32.1
0.0,0.276,32.1
0.0,0.382,32.1
0.0,0.476,32.1
0.0,0.566,32.1
0.0,0.648,32.1
0.0,0.728,32.1
0.0,0.822,32.1
0.0,0.848,32.1
0.0,0.85,32.1
0.027,0.9,32.1
0.05,0.887,32.1
0.065,0.878,32.1
0.047,0.853,32.1
0.031,0.816,32.1
0.01,0.796,32.1
0.0,0.763,32.1
0.0,0.73,32.1
0.0,0.737,32.1
0.0,0.739,32.1
0.0,0.711,32.1
0.0,0.7,32.1
0.0,0.682,32.1
0.0,0.573,32.1
0.0,0.532,32.1
0.0,0.518,32.1
0.0,0.479,32.1
0.0,0.506,32.1
0.0,0.482,32.1
0.0,0.437,32.1
0.0,0.395,32.1
0.0,0.328,32.1
0.0,0.309,32.1
0.011,0.355,32.1
0.054,0.399,32.1
0.157,0.447,32.1
0.219,0.552,32.1
0.175,0.56,32.1
0.126,0.501,32.1
0.05,0.451,32.1
0.0,0.4,32.1
0.0,0.31,32.1
0.0,0.203,32.1
0.0,0.152,32.1
0.0,0.153,32.1
0.0,0.181,32.1
0.0,0.214,32.1
0.0,0.302,32.1
0.0,0.4,32.1
0.0,0.45,32.1
0.0,0.463,32.1
0.0,0.431,32.1
0.0,0.391,32.1
0.0,0.398,32.1
0.0,0.427,32.1
0.0,0.469,32.1
0.0,0.513,32.1
0.013,0.552,32.1
0.06,0.562,32.1
0.119,0.61,32.1
0.162,0.684,32.1
0.128,0.708,32.1
0.076,0.731,32.1
0.044,0.758,32.1
0.0,0.784,32.1
0.0,0.8,32.1
0.0,0.809,32.1
0.0,0.817,32.1
0.0,0.824,32.1
0.0,0.829,32.1
0.0,0.826,32.1
0.0,0.821,32.1
0.0,0.813,32.1
0.0,0.806,32.1
0.0,0.798,32.1
0.0,0.789,32.1
0.0,0.799,32.1
0.0,0.808,32.1
0.0,0.812,32.1
0.0,0.814,32.1
0.0,0.826,32.1
0.0,0.816,32.1
0.017,0.817,32.1
0.043,0.816,32.1
0.066,0.792,32.1
0.087,0.772,32.1
0.097,0.76,32.1
0.039,0.78,32.1
0.0,0.788,32.1
0.0,0.78,32.1
0.0,0.732,32.1
0.0,0.642,32.1
0.0,0.544,32.1
0.0,0.46,32.1
0.0,0.396,32.1
0.0,0.315,32.1
0.0,0.302,32.1
0.0,0.321,32.1
0.0,0.329,32.1
0.0,0.338,32.1
0.0,0.351,32.1
0.0,0.358,32.1
0.0,0.355,32.1
0.0,0.357,32.1
0.0,0.364,32.1
0.0,0.352,32.1
0.012,0.368,32.1
0.027,0.391,32.1
0.039,0.42,32.1
0.046,0.476,32.1
0.049,0.54,32.1
0.031,0.635,32.1
0.0,0.73,32.1
0.0,0.788,32.1
0.0,0.865,32.1
0.0,0.859,32.1
0.0,0.899,32.1
0.0,0.928,32.1
0.0,0.947,32.1
0.0,0.959,32.1
0.0,0.96,32.1
0.0,0.959,32.1
0.0,0.955,32.1
0.0,0.958,32.1
0.0,0.964,32.1
0.0,0.96,32.1
0.0,0.942,32.1
0.0,0.892,32.1
0.0,0.821,32.1
0.004,0.786,32.1
0.03,0.765,32.1
0.04,0.78,32.1
0.032,0.802,32.1
0.01,0.83,32.1
0.005,0.869,32.1
0.0,0.919,32.1
0.0,0.96,32.1
0.0,0.987,32.1
0.0,0.986,32.1
0.0,0.986,32.1
0.0,0.984,32.1
0.0,0.984,32.1
0.0,0.985,32.1
0.0,0.984,32.1
0.0,0.983,32.1
0.0,0.982,32.1
0.0,0.978,32.1
0.0,0.973,32.1
0.0,0.966,32.1
0.0,0.948,32.1
0.0,0.926,32.1
0.0,0.917,32.1
0.0,0.924,32.1
0.015,0.923,32.1
0.046,0.914,32.1
0.049,0.91,32.1
0.041,0.916,32.1
0.031,0.913,32.1
0.009,0.896,32.1
0.0,0.839,32.1
0.0,0.715,32.1
0.0,0.556,32.1
0.0,0.487,32.1
0.0,0.491,32.1
0.0,0.494,32.1
0.0,0.472,32.1
0.0,0.498,32.1
0.0,0.467,32.1
0.0,0.433,32.1
0.0,0.422,32.1
0.0,0.376,32.1
0.0,0.332,32.1
0.0,0.305,32.1
0.0,0.282,32.1
0.0,0.28,32.1
0.0,0.283,32.1
0.0,0.3,32.1
0.011,0.323,32.1
0.073,0.369,32.1
0.363,0.381,32.1
0.488,0.38,32.1
0.459,0.442,32.1
0.331,0.474,32.1
0.068,0.538,32.1
0.003,0.619,32.1
0.0,0.688,32.1
0.0,0.72,32.1
0.0,0.73,32.1
0.0,0.745,32.1
0.0,0.749,32.1
0.0,0.742,32.1
0.0,0.727,32.1
0.0,0.702,32.1
0.0,0.674,32.1
0.0,0.645,32.1
0.0,0.683,32.1
0.0,0.666,32.1
0.0,0.604,32.1
0.0,0.578,32.1
0.0,0.53,32.1
0.0,0.533,32.1
0.001,0.511,32.1
0.016,0.502,32.1
0.037,0.494,32.1
0.059,0.493,32.1
0.074,0.468,32.1
0.068,0.467,32.1
0.037,0.526,32.1
0.0,0.599,32.1
0.0,0.661,32.1
0.0,0.735,32.1
0.0,0.791,32.1
0.0,0.82,32.1
0.0,0.791,32.1
0.0,0.704,32.1
0.0,0.601,32.1
0.0,0.554,32.1
0.0,0.519,32.1
0.0,0.472,32.1
0.0,0.428,32.1
0.0,0.391,32.1
0.0,0.367,32.1
0.0,0.352,32.1
0.0,0.36,32.1
0.0,0.364,32.1
0.047,0.379,32.1
0.169,0.408,32.1
0.325,0.434,32.1
0.384,0.498,32.1
0.379,0.508,32.1
0.224,0.483,32.1
0.075,0.43,32.1
0.004,0.395,32.1
0.0,0.398,32.1
0.0,0.424,32.1
0.0,0.475,32.1
0.0,0.509,32.1
0.0,0.517,32.1
0.0,0.501,32.1
0.0,0.481,32.1
0.0,0.468,32.1
0.0,0.466,32.1
0.0,0.454,32.1
0.0,0.448,32.1
0.0,0.465,32.1
0.0,0.494,32.1
0.0,0.526,32.1
0.0,0.559,32.1
0.0,0.544,32.1
0.132,0.476,32.1
0.31,0.345,32.1
0.433,0.326,32.1
0.47,0.472,32.1
0.429,0.485,32.1
0.331,0.447,32.1
0.149,0.399,32.1
0.007,0.395,32.1
0.0,0.424,32.1
0.0,0.382,32.1
0.0,0.348,32.1
0.0,0.308,32.1
0.0,0.206,32.1
0.0,0.151,32.1
0.0,0.111,32.1
0.0,0.093,32.1
0.0,0.074,32.1
0.0,0.066,32.1
0.0,0.061,32.1
0.0,0.039,32.1
0.0,0.015,32.1
0.0,0.009,32.1
0.0,0.012,32.1
0.0,0.025,32.1
0.098,0.058,32.1
0.168,0.086,32.1
0.208,0.095,32.1
0.242,0.104,32.1
0.234,0.102,32.1
0.208,0.095,32.1
0.11,0.093,32.1
0.014,0.112,32.1
0.0,0.127,32.1
0.0,0.129,32.1
0.0,0.119,32.1
0.0,0.104,32.1
0.0,0.096,32.1
0.0,0.103,32.1
0.0,0.126,32.1
0.0,0.17,32.1
0.0,0.232,32.1
0.0,0.289,32.1
0.0,0.316,32.1
0.0,0.305,32.1
0.0,0.278,32.1
0.0,0.252,32.1
0.0,0.226,32.1
0.0,0.201,32.1
0.063,0.169,32.1
0.2,0.139,32.1
0.407,0.133,32.1
0.494,0.132,32.1
0.453,0.12,32.1
0.345,0.104,32.1
0.171,0.083,32.1
0.023,0.079,32.1
0.0,0.086,32.1
0.0,0.106,32.1
0.0,0.131,32.1
0.0,0.135,32.1
0.0,0.12,32.1
0.0,0.106,32.1
0.0,0.089,32.1
0.0,0.071,32.1
0.0,0.058,32.1
0.0,0.054,32.1
0.0,0.061,32.1
0.0,0.068,32.1
0.0,0.066,32.1
0.0,0.063,32.1
0.0,0.064,32.1
0.0,0.056,32.1
0.0,0.039,32.1
0.01,0.026,32.1
0.035,0.019,32.1
0.066,0.015,32.1
0.063,0.015,32.1
0.033,0.018,32.1
0.011,0.021,32.1
0.0,0.025,32.1
0.0,0.026,32.1
0.0,0.028,32.1
0.0,0.029,32.1
0.0,0.028,32.1
0.0,0.024,32.1
0.0,0.025,32.1
0.0,0.031,32.1
0.0,0.036,32.1
0.0,0.042,32.1
0.0,0.045,32.1
0.0,0.041,32.1
0.0,0.032,32.1
0.0,0.023,32.1
0.0,0.019,32.1
0.0,0.019,32.1
0.0,0.022,32.1
0.021,0.024,32.1
0.064,0.02,32.1
0.118,0.025,32.1
0.134,0.028,32.1
0.161,0.028,32.1
0.129,0.026,32.1
0.065,0.026,32.1
0.007,0.032,32.1
0.0,0.039,32.1
0.0,0.049,32.1
0.0,0.061,32.1
0.0,0.071,32.1
0.0,0.074,32.1
0.0,0.075,32.1
0.0,0.068,32.1
0.0,0.059,32.1
0.0,0.054,32.1
0.0,0.051,32.1
0.0,0.046,32.1
0.0,0.039,32.1
0.0,0.035,32.1
0.0,0.036,32.1
0.0,0.042,32.1
