solar_cf,wind_cf,price
0.0,0.03,125.8
0.0,0.026,125.8
0.0,0.021,125.8
0.0,0.014,125.8
0.0,0.024,125.8
0.0,0.046,125.8
0.0,0.064,125.8
0.0,0.087,125.8
0.012,0.107,125.8
0.033,0.118,125.8
0.049,0.132,125.8
0.052,0.125,125.8
0.045,0.101,125.8
0.039,0.082,125.8
0.016,0.067,125.8
0.0,0.061,125.8
0.0,0.061,125.8
0.0,0.051,125.8
0.0,0.042,125.8
0.0,0.042,125.8
0.0,0.054,125.8
0.0,0.076,125.8
0.0,0.084,125.8
0.0,0.076,125.8
0.0,0.076,125.8
0.0,0.112,125.8
0.0,0.183,125.8
0.0,0.243,125.8
0.0,0.313,125.8
0.0,0.378,125.8
0.0,0.41,125.8
0.0,0.432,125.8
0.007,0.395,125.8
0.021,0.387,125.8
0.033,0.393,125.8
0.035,0.388,125.8
0.026,0.376,125.8
0.013,0.388,125.8
0.002,0.314,125.8
0.0,0.304,125.8
0.0,0.294,125.8
0.0,0.293,125.8
0.0,0.309,125.8
0.0,0.296,125.8
0.0,0.278,125.8
0.0,0.254,125.8
0.0,0.236,125.8
0.0,0.245,125.8
0.0,0.289,125.8
0.0,0.341,125.8
0.0,0.356,125.8
0.0,0.41,125.8
0.0,0.458,125.8
0.0,0.43,125.8
0.0,0.358,125.8
0.006,0.277,125.8
0.074,0.172,125.8
0.21,0.086,125.8
0.302,0.053,125.8
0.256,0.032,125.8
0.151,0.017,125.8
0.089,0.027,125.8
0.038,0.057,125.8
0.0,0.076,125.8
0.0,0.078,125.8
0.0,0.071,125.8
0.0,0.059,125.8
0.0,0.048,125.8
0.0,0.044,125.8
0.0,0.05,125.8
0.0,0.064,125.8
0.0,0.084,125.8
0.0,0.109,125.8
0.0,0.129,125.8
0.0,0.144,125.8
0.0,0.169,125.8
0.0,0.158,125.8
0.0,0.137,125.8
0.0,0.145,125.8
0.0,0.144,125.8
0.033,0.121,125.8
0.071,0.087,125.8
0.107,0.064,125.8
0.169,0.058,125.8
0.159,0.065,125.8
0.099,0.086,125.8
0.042,0.112,125.8
0.0,0.156,125.8
0.0,0.187,125.8
0.0,0.21,125.8
0.0,0.251,125.8
0.0,0.289,125.8
0.0,0.265,125.8
0.0,0.219,125.8
0.0,0.168,125.8
0.0,0.134,125.8
0.0,0.099,125.8
0.0,0.058,125.8
0.0,0.056,125.8
0.0,0.083,125.8
0.0,0.111,125.8
0.0,0.128,125.8
0.0,0.153,125.8
0.0,0.167,125.8
0.02,0.162,125.8
0.062,0.147,125.8
0.086,0.147,125.8
0.074,0.162,125.8
0.049,0.148,125.8
0.028,0.137,125.8
0.008,0.15,125.8
0.0,0.153,125.8
0.0,0.113,125.8
0.0,0.082,125.8
0.0,0.05,125.8
0.0,0.028,125.8
0.0,0.022,125.8
0.0,0.027,125.8
0.0,0.025,125.8
