,solar_cf,wind_cf,price
2019-01-01 00:00:00,0.0,0.369,40.087852435116545
2019-01-01 01:00:00,0.0,0.379,54.62801532977477
2019-01-01 02:00:00,0.0,0.392,64.47532856387105
2019-01-01 03:00:00,0.0,0.409,64.33921118092383
2019-01-01 04:00:00,0.0,0.404,45.285798187939555
2019-01-01 05:00:00,0.0,0.375,58.65468043177897
2019-01-01 06:00:00,0.0,0.343,57.585090814237
2019-01-01 07:00:00,0.032,0.328,53.88007558654883
2019-01-01 08:00:00,0.313,0.278,46.80050979317166
2019-01-01 09:00:00,0.523,0.192,59.798633002496175
2019-01-01 10:00:00,0.642,0.119,26.42436776141731
2019-01-01 11:00:00,0.692,0.054,40.63108425510185
2019-01-01 12:00:00,0.682,0.017,42.90267356038397
2019-01-01 13:00:00,0.612,0.009,34.44942801701571
2019-01-01 14:00:00,0.475,0.004,41.633859416822936
2019-01-01 15:00:00,0.253,0.007,34.77110507944223
2019-01-01 16:00:00,0.006,0.02,67.83753653266294
2019-01-01 17:00:00,0.0,0.04,40.54985156343128
2019-01-01 18:00:00,0.0,0.08,44.85074862562389
2019-01-01 19:00:00,0.0,0.15,28.929630111146196
2019-01-01 20:00:00,0.0,0.272,24.211255960498686
2019-01-01 21:00:00,0.0,0.438,37.82220212315626
2019-01-01 22:00:00,0.0,0.574,0.2388947223673199
2019-01-01 23:00:00,0.0,0.661,53.2884003983761
2019-01-02 00:00:00,0.0,0.727,52.386579522229795
2019-01-02 01:00:00,0.0,0.756,50.45943518335618
2019-01-02 02:00:00,0.0,0.794,51.630269549643685
2019-01-02 03:00:00,0.0,0.84,54.196187901001686
2019-01-02 04:00:00,0.0,0.866,43.2008384192592
2019-01-02 05:00:00,0.0,0.885,40.359429677931416
2019-01-02 06:00:00,0.0,0.889,40.95034466916216
2019-01-02 07:00:00,0.042,0.887,45.016655358064305
2019-01-02 08:00:00,0.358,0.84,62.476502539720514
2019-01-02 09:00:00,0.56,0.721,50.9645074959372
2019-01-02 10:00:00,0.676,0.543,32.58821015325679
2019-01-02 11:00:00,0.721,0.361,33.655575441063306
2019-01-02 12:00:00,0.704,0.246,30.77096130884336
2019-01-02 13:00:00,0.628,0.163,47.669362714328344
2019-01-02 14:00:00,0.489,0.145,51.463901829943104
