solar_cf,wind_cf,price
0.0,0.51,111.9
0.0,0.538,111.9
0.0,0.566,111.9
0.0,0.535,111.9
0.0,0.536,111.9
0.0,0.532,111.9
0.0,0.508,111.9
0.004,0.474,111.9
0.107,0.399,111.9
0.22,0.317,111.9
0.25,0.256,111.9
0.189,0.24,111.9
0.109,0.223,111.9
0.069,0.235,111.9
0.047,0.216,111.9
0.018,0.168,111.9
0.0,0.187,111.9
0.0,0.261,111.9
0.0,0.459,111.9
0.0,0.683,111.9
0.0,0.809,111.9
0.0,0.865,111.9
0.0,0.877,111.9
0.0,0.879,111.9
0.0,0.886,111.9
0.0,0.887,111.9
0.0,0.868,111.9
0.0,0.827,111.9
0.0,0.785,111.9
0.0,0.72,111.9
0.0,0.618,111.9
0.03,0.494,111.9
0.311,0.359,111.9
0.514,0.285,111.9
0.62,0.245,111.9
0.644,0.233,111.9
0.595,0.245,111.9
0.49,0.31,111.9
0.323,0.444,111.9
0.122,0.57,111.9
0.0,0.702,111.9
0.0,0.802,111.9
0.0,0.822,111.9
0.0,0.831,111.9
0.0,0.837,111.9
0.0,0.827,111.9
0.0,0.815,111.9
0.0,0.788,111.9
0.0,0.751,111.9
0.0,0.714,111.9
0.0,0.689,111.9
0.0,0.678,111.9
0.0,0.671,111.9
0.0,0.67,111.9
0.0,0.64,111.9
0.031,0.638,111.9
0.345,0.606,111.9
0.573,0.614,111.9
0.694,0.597,111.9
0.745,0.601,111.9
0.732,0.639,111.9
0.656,0.668,111.9
0.505,0.674,111.9
0.263,0.614,111.9
0.007,0.588,111.9
0.0,0.607,111.9
0.0,0.628,111.9
0.0,0.642,111.9
0.0,0.645,111.9
0.0,0.655,111.9
0.0,0.678,111.9
0.0,0.7,111.9
0.0,0.708,111.9
0.0,0.707,111.9
0.0,0.677,111.9
0.0,0.624,111.9
0.0,0.583,111.9
0.0,0.532,111.9
0.0,0.529,111.9
0.022,0.519,111.9
0.292,0.41,111.9
0.521,0.356,111.9
0.63,0.311,111.9
0.594,0.259,111.9
0.518,0.245,111.9
0.41,0.268,111.9
0.283,0.3,111.9
0.125,0.325,111.9
0.0,0.391,111.9
0.0,0.479,111.9
0.0,0.554,111.9
0.0,0.621,111.9
0.0,0.681,111.9
0.0,0.72,111.9
0.0,0.745,111.9
0.0,0.746,111.9
0.0,0.734,111.9
0.0,0.745,111.9
0.0,0.741,111.9
0.0,0.698,111.9
0.0,0.644,111.9
0.0,0.566,111.9
0.0,0.494,111.9
0.034,0.434,111.9
0.31,0.339,111.9
0.512,0.3,111.9
0.636,0.265,111.9
0.682,0.235,111.9
0.661,0.217,111.9
0.574,0.203,111.9
0.447,0.184,111.9
0.241,0.186,111.9
0.008,0.221,111.9
0.0,0.237,111.9
0.0,0.259,111.9
0.0,0.288,111.9
0.0,0.31,111.9
0.0,0.322,111.9
0.0,0.32,111.9
0.0,0.315,111.9
0.0,0.324,111.9
0.0,0.341,111.9
0.0,0.364,111.9
0.0,0.37,111.9
0.0,0.367,111.9
0.0,0.355,111.9
0.0,0.335,111.9
0.045,0.305,111.9
0.353,0.264,111.9
0.559,0.219,111.9
0.682,0.203,111.9
0.735,0.213,111.9
0.724,0.222,111.9
0.652,0.22,111.9
0.508,0.203,111.9
0.276,0.206,111.9
0.012,0.214,111.9
0.0,0.2,111.9
0.0,0.185,111.9
0.0,0.166,111.9
0.0,0.137,111.9
0.0,0.143,111.9
0.0,0.155,111.9
0.0,0.134,111.9
0.0,0.138,111.9
0.0,0.178,111.9
0.0,0.227,111.9
0.0,0.295,111.9
0.0,0.376,111.9
0.0,0.437,111.9
0.0,0.451,111.9
0.0,0.444,111.9
0.012,0.454,111.9
0.044,0.422,111.9
0.078,0.337,111.9
0.088,0.282,111.9
0.152,0.259,111.9
0.123,0.226,111.9
0.049,0.213,111.9
0.01,0.214,111.9
0.0,0.2,111.9
0.0,0.164,111.9
0.0,0.124,111.9
0.0,0.094,111.9
0.0,0.07,111.9
0.0,0.059,111.9
0.0,0.064,111.9
0.0,0.076,111.9
0.0,0.104,111.9
0.0,0.133,111.9
0.0,0.146,111.9
0.0,0.149,111.9
0.0,0.142,111.9
0.0,0.129,111.9
0.0,0.112,111.9
0.0,0.088,111.9
0.068,0.054,111.9
0.172,0.012,111.9
0.147,0.013,111.9
0.13,0.012,111.9
0.1,0.029,111.9
0.083,0.048,111.9
0.053,0.061,111.9
0.014,0.074,111.9
0.0,0.074,111.9
0.0,0.113,111.9
0.0,0.195,111.9
0.0,0.295,111.9
0.0,0.422,111.9
0.0,0.519,111.9
0.0,0.61,111.9
0.0,0.751,111.9
0.0,0.77,111.9
0.0,0.734,111.9
0.0,0.763,111.9
0.0,0.741,111.9
0.0,0.74,111.9
0.0,0.781,111.9
0.0,0.79,111.9
