firm,fraction,label,co2_baseline_MtCO2,co2_realised_MtCO2,abated_MtCO2,npv_eur,extra_cost_eur,shadow_price_eur_tco2,feasible,elapsed_s
Shell,1.0,Unconstrained,9.953999999999999,9.953999999999999,0.0,2647341045.0305886,0.0,,True,7.533198833465576
Shell,0.9,90%,9.953999999999999,1.791,8.162999999999998,2875819377.2378507,228478332.20726204,13.333333333333336,True,6.638673305511475
Shell,0.75,75%,9.953999999999999,1.492,8.462,2895727377.237851,248386332.20726252,13.333333333333336,True,7.647356748580933
Shell,0.5,50%,9.953999999999999,0.994,8.959999999999999,2928934998.9041376,281593953.873549,15.646094427761899,True,7.47100305557251
Shell,0.25,25%,9.953999999999999,0.497,9.456999999999999,3336027737.5243616,688686692.493773,573.1449054746641,True,7.922737121582031
Shell,0.1,10%,9.953999999999999,0.19899999999999998,9.754999999999999,8167569461.527744,5520228416.497156,12733.11757822353,True,7.479966402053833
Shell,0.05,5%,9.953999999999999,0.09999999999999999,9.854,61080277506.28325,58432936461.25266,482802.51591513684,True,6.5877296924591064
Shell,0.0,0%,,,,,,,False,
TotalEnergies,1.0,Unconstrained,15.092,15.092,0.0,3967200332.3523946,0.0,,True,6.342631101608276
TotalEnergies,0.9,90%,15.092,2.7159999999999993,12.376000000000001,4313155878.80408,345955546.4516854,13.333333333333334,True,6.5521626472473145
TotalEnergies,0.75,75%,15.092,2.263,12.829,4343339878.804081,376139546.4516864,13.333333333333334,True,6.028477668762207
TotalEnergies,0.5,50%,15.092,1.508,13.584,4393646545.470747,426446213.1183524,13.333333333333334,True,7.898985385894775
TotalEnergies,0.25,25%,15.092,0.7549999999999999,14.337,4996018398.388995,1028818066.0366006,569.0469233551695,True,6.704218864440918
TotalEnergies,0.1,10%,15.092,0.30299999999999994,14.789000000000001,12323865173.722242,8356664841.369848,12949.74977330121,True,7.24481201171875
TotalEnergies,0.05,5%,15.092,0.15199999999999997,14.940000000000001,94839992567.92827,90872792235.57587,463763.96452554164,True,7.247755289077759
TotalEnergies,0.0,0%,,,,,,,False,
BP,1.0,Unconstrained,11.993,11.993,0.0,3208795950.744994,0.0,,True,6.3522326946258545
BP,0.9,90%,11.993,2.159,9.834,3480001162.8699446,271205212.1249504,13.333333333333334,True,6.398783206939697
BP,0.75,75%,11.993,1.799,10.194,3503987162.8699436,295191212.12494946,13.333333333333334,True,6.286322593688965
BP,0.5,50%,11.993,1.2000000000000002,10.793,3543963829.5366106,335167878.79161644,13.333333333333334,True,7.636751890182495
BP,0.25,25%,11.993,0.5999999999999999,11.393,4008178112.869364,799382162.1243696,509.282963655353,True,7.358231782913208
BP,0.1,10%,11.993,0.23900000000000002,11.754,9408241353.35282,6199445402.607825,12041.818904102396,True,10.556528329849243
BP,0.05,5%,11.993,0.11900000000000001,11.874,61888973921.93482,58680177971.18983,408756.0798417124,True,7.024797201156616
BP,0.0,0%,,,,,,,False,
Eni,1.0,Unconstrained,6.241,6.241,0.0,1688173783.6689415,0.0,,True,6.906277179718018
Eni,0.9,90%,6.241,1.123,5.117999999999999,1834594069.5682645,146420285.899323,13.333333333333336,True,6.26770806312561
Eni,0.75,75%,6.241,0.935,5.305999999999999,1847076069.5682645,158902285.899323,13.333333333333336,True,5.97446870803833
Eni,0.5,50%,6.241,0.6239999999999999,5.617,1867879682.0439992,179705898.3750577,13.417625462018446,True,8.220935344696045
Eni,0.25,25%,6.241,0.31199999999999994,5.928999999999999,2121893203.1760335,433719419.507092,548.6096711587464,True,7.988803386688232
Eni,0.1,10%,6.241,0.12400000000000001,6.117,5115826133.449846,3427652349.780905,12279.626583806112,True,6.443161964416504
Eni,0.05,5%,6.241,0.062,6.178999999999999,36306228776.51098,34618054992.84204,504173.62526914285,True,6.835789203643799
Eni,0.0,0%,,,,,,,False,
Repsol,1.0,Unconstrained,12.251,12.251,0.0,3278076894.218126,0.0,,True,5.924715757369995
Repsol,0.9,90%,12.251,2.205,10.046,3557750103.705161,279673209.4870353,13.333333333333334,True,6.226235389709473
Repsol,0.75,75%,12.251,1.8379999999999999,10.413,3582252103.7051606,304175209.4870348,13.333333333333334,True,6.422346115112305
Repsol,0.5,50%,12.251,1.2249999999999999,11.026,3623104666.755729,345027772.5376034,14.740012033445645,True,7.382202863693237
Repsol,0.25,25%,12.251,0.6119999999999999,11.639,4119608306.2187953,841531412.0006695,546.2963195164311,True,7.111745595932007
Repsol,0.1,10%,12.251,0.24500000000000002,12.006,9925089579.335238,6647012685.117111,12160.887968313957,True,9.659626007080078
Repsol,0.05,5%,12.251,0.12200000000000001,12.129,70192137066.68161,66914060172.463486,441141.3679032108,True,6.980888843536377
Repsol,0.0,0%,,,,,,,False,
