firm,fraction,label,co2_baseline_MtCO2,co2_realised_MtCO2,abated_MtCO2,npv_eur,extra_cost_eur,shadow_price_eur_tco2,feasible,elapsed_s
Shell,1.0,Unconstrained,1.028,1.028,0.0,2927662585.297987,0.0,,True,5.348829507827759
Shell,0.9,90%,1.028,0.186,0.8420000000000001,9217169889.71722,6289507304.419233,16878.12259783208,True,5.66851282119751
Shell,0.75,75%,1.028,0.15399999999999997,0.8740000000000001,13085525649.172823,10157863063.874836,37765.144112387025,True,5.822478294372559
Shell,0.5,50%,1.028,0.103,0.925,53722507635.9122,50794845050.61421,422449.4315867216,True,5.814568519592285
Shell,0.25,25%,,,,,,,False,5.036131858825684
Shell,0.1,10%,,,,,,,False,6.297583103179932
Shell,0.05,5%,,,,,,,False,5.228285312652588
Shell,0.0,0%,,,,,,,False,3.6917314529418945
TotalEnergies,1.0,Unconstrained,1.553,1.553,0.0,4392249959.392483,0.0,,True,4.538311243057251
TotalEnergies,0.9,90%,1.553,0.28,1.273,14006595109.337011,9614345149.944529,16482.52775993547,True,5.421560287475586
TotalEnergies,0.75,75%,1.553,0.233,1.3199999999999998,20111000575.643288,15718750616.250805,47363.89593913968,True,5.871459484100342
TotalEnergies,0.5,50%,1.553,0.15599999999999997,1.397,84716159270.77919,80323909311.3867,461797.38214735815,True,5.446406364440918
TotalEnergies,0.25,25%,,,,,,,False,4.981433629989624
TotalEnergies,0.1,10%,,,,,,,False,6.350526571273804
TotalEnergies,0.05,5%,,,,,,,False,5.1822545528411865
TotalEnergies,0.0,0%,,,,,,,False,3.61377215385437
BP,1.0,Unconstrained,1.209,1.209,0.0,3544338186.8845854,0.0,,True,4.539433717727661
BP,0.9,90%,1.209,0.218,0.9910000000000001,10963291765.918331,7418953579.033746,17483.919305096537,True,8.572124004364014
BP,0.75,75%,1.209,0.181,1.028,15314365548.069576,11770027361.18499,36274.56836806048,True,7.734968423843384
BP,0.5,50%,1.209,0.12000000000000001,1.089,59962728954.25872,56418390767.37414,386104.6819341709,True,5.546494722366333
BP,0.25,25%,,,,,,,False,4.806684255599976
BP,0.1,10%,,,,,,,False,6.353736162185669
BP,0.05,5%,,,,,,,False,5.062759637832642
BP,0.0,0%,,,,,,,False,3.6366546154022217
Eni,1.0,Unconstrained,0.6369999999999999,0.6369999999999999,0.0,1867411523.1666346,0.0,,True,4.618319988250732
Eni,0.9,90%,0.6369999999999999,0.114,0.5229999999999999,5872767176.384574,4005355653.2179394,17151.47447722017,True,5.528935670852661
Eni,0.75,75%,0.6369999999999999,0.096,0.5409999999999999,8283764684.523345,6416353161.35671,39357.52285381382,True,5.723910808563232
Eni,0.5,50%,0.6369999999999999,0.064,0.573,33445772040.090958,31578360516.924324,441141.3679032108,True,5.174085855484009
Eni,0.25,25%,,,,,,,False,5.273860931396484
Eni,0.1,10%,,,,,,,False,5.810983180999756
Eni,0.05,5%,,,,,,,False,5.066008806228638
Eni,0.0,0%,,,,,,,False,3.716620445251465
Repsol,1.0,Unconstrained,1.251,1.251,0.0,3622051021.639122,0.0,,True,4.653948068618774
Repsol,0.9,90%,1.251,0.225,1.0259999999999998,11374986360.712555,7752935339.073433,17103.52447439279,True,5.510860443115234
Repsol,0.75,75%,1.251,0.187,1.0639999999999998,16055011748.82617,12432960727.187048,38277.8381612723,True,5.8867104053497314
Repsol,0.5,50%,1.251,0.12400000000000001,1.1269999999999998,64630236066.17802,61008185044.538895,391871.3483591655,True,5.675524950027466
Repsol,0.25,25%,,,,,,,False,5.279791355133057
Repsol,0.1,10%,,,,,,,False,6.315746068954468
Repsol,0.05,5%,,,,,,,False,5.38803243637085
Repsol,0.0,0%,,,,,,,False,3.3573968410491943
