firm,fraction,label,co2_baseline_MtCO2,co2_realised_MtCO2,abated_MtCO2,npv_eur,extra_cost_eur,shadow_price_eur_tco2,cavern_2025_MWh,feasible,elapsed_s
Shell,1.0,Unconstrained,0.262,0.262,0.0,2562710799.7671976,0.0,,556572.7297860866,True,27.31132483482361
Shell,0.9,90%,0.262,0.047,0.21500000000000002,93085633156.13377,90522922356.36658,1786511.9389995842,290016.89189005014,True,43.879035234451294
Shell,0.75,75%,0.262,0.041,0.221,1183848778004983.8,1183846215294184.0,44678207693.26917,108487.41919173424,True,101.61782550811768
Shell,0.5,50%,,,,,,,,False,40.9253625869751
Shell,0.25,25%,,,,,,,,False,39.49355673789978
Shell,0.1,10%,,,,,,,,False,19.322951316833496
Shell,0.05,5%,,,,,,,,False,24.110079288482666
Shell,0.0,0%,,,,,,,,False,6.608375549316406
TotalEnergies,1.0,Unconstrained,0.40599999999999997,0.40599999999999997,0.0,3815487407.11084,0.0,,917174.9744717833,True,30.953861236572266
TotalEnergies,0.9,90%,0.40599999999999997,0.072,0.33399999999999996,131781752638.85637,127966265231.74553,1708845.9332866184,485777.17558901093,True,40.39956331253052
TotalEnergies,0.75,75%,0.40599999999999997,0.06099999999999998,0.345,1624080939365530.8,1624077123878123.8,42735830889.432526,167097.33647287605,True,96.20442605018616
TotalEnergies,0.5,50%,0.40599999999999997,0.04099999999999998,0.365,5051430894661269.0,5051427079173862.0,53182367335.7823,167097.33647287605,True,111.8662645816803
TotalEnergies,0.25,25%,,,,,,,,False,31.240794897079468
TotalEnergies,0.1,10%,,,,,,,,False,23.22710394859314
TotalEnergies,0.05,5%,,,,,,,,False,21.926611185073853
TotalEnergies,0.0,0%,,,,,,,,False,7.514772891998291
BP,1.0,Unconstrained,0.285,0.285,0.0,3141096038.7481575,0.0,,220274.17210358672,True,27.651445388793945
BP,0.9,90%,0.285,0.051,0.23399999999999999,188620573801.35654,185479477762.60837,60503269.906549424,241120.0777069559,True,55.65214800834656
BP,0.75,75%,,,,,,,,False,44.65798544883728
BP,0.5,50%,,,,,,,,False,43.595712423324585
BP,0.25,25%,,,,,,,,False,33.982810974121094
BP,0.1,10%,,,,,,,,False,18.55120277404785
BP,0.05,5%,,,,,,,,False,21.249138593673706
BP,0.0,0%,,,,,,,,False,6.689241647720337
Eni,1.0,Unconstrained,0.154,0.154,0.0,1645088798.837126,0.0,,236930.65873613214,True,27.069509983062744
Eni,0.9,90%,0.154,0.028,0.126,80681202714.21642,79036113915.37929,18589373.266431626,170939.6653533469,True,39.74188041687012
Eni,0.75,75%,,,,,,,,False,50.11691975593567
Eni,0.5,50%,,,,,,,,False,42.41113305091858
Eni,0.25,25%,,,,,,,,False,29.99823808670044
Eni,0.1,10%,,,,,,,,False,20.30193567276001
Eni,0.05,5%,,,,,,,,False,20.494755506515503
Eni,0.0,0%,,,,,,,,False,5.954745769500732
Repsol,1.0,Unconstrained,0.31,0.31,0.0,3193219996.50249,0.0,,451516.0607351739,True,27.545650482177734
Repsol,0.9,90%,0.31,0.056,0.254,126251898648.34932,123058678651.84683,2044181.184794647,331367.7901097543,True,39.67231273651123
Repsol,0.75,75%,,,,,,,,False,57.64967203140259
Repsol,0.5,50%,0.31,0.030999999999999972,0.279,4491402043221712.5,4491398850001716.0,58711188814.10759,130780.76196124779,True,95.24451780319214
Repsol,0.25,25%,,,,,,,,False,33.39059019088745
Repsol,0.1,10%,,,,,,,,False,22.530274391174316
Repsol,0.05,5%,,,,,,,,False,15.99941086769104
Repsol,0.0,0%,,,,,,,,False,6.230936288833618
