firm,fraction,label,co2_baseline_MtCO2,co2_realised_MtCO2,npv_eur,extra_cost_eur,shadow_price_eur_tco2,cavern_2025_MWh,feasible
Shell,1.0,Unconstrained,0.053,0.053,3257619512.0376406,0.0,,-0.0,True
Shell,0.9,90%,0.053,0.010000000000000002,3778896081.2623687,521276569.2247281,720.6559552805401,1819104.707329962,True
Shell,0.75,75%,0.053,0.008,3785401644.440392,527782132.40275145,842.7785990878432,1819104.707329962,True
Shell,0.5,50%,0.053,0.005,3808073358.9048314,550453846.8671908,5681.181912057952,1756164.1318757397,True
Shell,0.25,25%,0.053,0.004,3983159625.8762474,725540113.8386068,21599.902743678376,1202474.7728652738,True
Shell,0.1,10%,0.053,0.0,4511263764.8198805,1253644252.78224,165978.29757999573,694550.68495722,True
Shell,0.05,5%,0.053,0.0,5058690703.856352,1801071191.8187113,293575.0618778059,561064.857358096,True
Shell,0.0,0%,0.053,0.0,6500604292.043127,3242984780.0054865,2251468.592772362,313785.4067619715,True
TotalEnergies,1.0,Unconstrained,0.078,0.078,4871294162.402284,0.0,,68691.87001400071,True
TotalEnergies,0.9,90%,0.078,0.015000000000000001,5584236490.624479,712942328.2221956,746.6942067603272,2801869.1349168294,True
TotalEnergies,0.75,75%,0.078,0.013,5593355588.168308,722061425.7660246,790.3620089568832,2801869.1349168327,True
TotalEnergies,0.5,50%,0.078,0.006,5634456352.936782,763162190.5344982,7485.451095680256,2649470.0543988156,True
TotalEnergies,0.25,25%,0.078,0.004,5900293588.08069,1028999425.6784067,21763.395039328672,1810931.1311637466,True
TotalEnergies,0.1,10%,0.078,0.0,6707707726.695283,1836413564.2929993,162604.08846166544,1079165.7990573843,True
TotalEnergies,0.05,5%,0.078,0.0,7508375266.829001,2637081104.4267178,294234.3929356316,856543.0946938287,True
TotalEnergies,0.0,0%,0.078,0.0,9585982370.187538,4714688207.7852545,2153637.1413780646,483306.7841840411,True
BP,1.0,Unconstrained,0.066,0.066,3953567452.455585,0.0,,1.1641532182693481e-10,True
BP,0.9,90%,0.066,0.011000000000000003,4743266104.189764,789698651.734179,862.3834454090421,2091602.0952564182,True
BP,0.75,75%,0.066,0.010000000000000002,4752126970.34128,798559517.885695,950.5953986221169,2113675.640051008,True
BP,0.5,50%,0.066,0.006,4772953309.99404,819385857.5384545,2023.1557441267578,2109048.0773312408,True
BP,0.25,25%,0.066,0.004,4973177361.226823,1019609908.7712379,21821.6941559732,1491348.8238317259,True
BP,0.1,10%,0.066,0.0,5569259478.577628,1615692026.1220431,146430.79182096207,884915.9874262938,True
BP,0.05,5%,0.066,0.0,6261003430.25015,2307435977.7945647,288259.0484787064,686306.2057293861,True
BP,0.0,0%,0.066,0.0,8170209379.126681,4216641926.6710963,3214720.873458362,364597.24819785875,True
Eni,1.0,Unconstrained,0.031,0.031,2078392455.839019,0.0,,1.8840119791378233e-12,True
Eni,0.9,90%,0.031,0.006,2471828180.5335817,393435724.6945627,837.7206784521273,1151468.4773414836,True
Eni,0.75,75%,0.031,0.006,2475969575.606638,397577119.7676189,904.1983894170598,1151297.4868197143,True
Eni,0.5,50%,0.031,0.004,2492661906.632694,414269450.7936747,8187.989378279901,1100481.7856965729,True
Eni,0.25,25%,0.031,0.0,2610945146.4024067,532552690.56338763,23879.11507892017,743939.8773238984,True
Eni,0.1,10%,0.031,0.0,2968142322.474703,889749866.6356838,183649.28516097052,443211.0382848639,True
Eni,0.05,5%,0.031,0.0,3322052938.826084,1243660482.987065,321212.594462169,346573.3003498742,True
Eni,0.0,0%,0.031,0.0,4252340407.5181465,2173947951.6791277,3082186.183726177,198493.04139867195,True
Repsol,1.0,Unconstrained,0.059,0.059,4038830124.5439024,0.0,,-0.0,True
Repsol,0.9,90%,0.059,0.010000000000000002,4762471239.706913,723641115.1630106,892.5989045219379,2192916.9435899993,True
Repsol,0.75,75%,0.059,0.008,4770450820.695995,731620696.1520929,1129.2365732810367,2192916.9435899975,True
Repsol,0.5,50%,0.059,0.005,4813782454.400549,774952329.8566465,8916.669167673868,2030932.9476076085,True
Repsol,0.25,25%,0.059,0.004,5044888086.6892395,1006057962.1453371,24710.224332097474,1385162.5192270512,True
Repsol,0.1,10%,0.059,0.0,5758526471.756918,1719696347.2130156,183649.28516097052,844622.2331386701,True
Repsol,0.05,5%,0.059,0.0,6438469318.644103,2399639194.1002007,324948.44653097104,661860.9891181294,True
Repsol,0.0,0%,0.059,0.0,8181263338.7554455,4142433214.211543,2351023.3705845485,378265.930689384,True
