firm,fraction,label,feasible,co2_baseline_MtCO2,co2_realised_MtCO2,npv_eur,npv_baseline_eur,npv_premium_pct,shadow_price_eur_tco2,cavern_2025_mwh,elapsed_s
Shell,1.0,Unconstrained,True,10.13200503996881,10.13200503996881,3462732169.9191856,3462732169.9191856,0.0,,5.820766091346741e-11,20.60189700126648
Shell,0.9,90%,True,10.13200503996881,1.7634580622706229,3641835773.087902,3462732169.9191856,5.172320421561705,12.64654822048179,631810.68497572,22.283735513687134
Shell,0.75,75%,True,10.13200503996881,1.4559752130721109,3661504171.9935236,3462732169.9191856,5.740322737088177,13.329034207369737,755139.1359796864,19.815526008605957
Shell,0.5,50%,True,10.13200503996881,0.9079295275839928,3696657480.038465,3462732169.9191856,6.755512659956575,13.99153868693677,775657.6334073166,18.08145785331726
Shell,0.25,25%,True,10.13200503996881,0.34600607822077534,3737023908.4421163,3462732169.9191856,7.921251920830263,17.71590190750902,810664.8604502198,16.756752014160156
Shell,0.1,10%,True,10.13200503996881,0.01150978986861376,3767506546.6740007,3462732169.9191856,8.801557897038514,21.428571428571438,828648.9819023269,17.684390783309937
Shell,0.05,5%,True,10.13200503996881,0.0,3791371418.352158,3462732169.9191856,9.490749856078029,80.66459444207464,1020819.3436555129,19.365473747253418
Shell,0.0,0%,True,10.13200503996881,0.0,3893502047.990057,3462732169.9191856,12.44017316190309,1091.1580778020234,1164510.9234471186,11.92359733581543
TotalEnergies,1.0,Unconstrained,True,13.661640090363742,13.661640090363742,5112300440.105258,5112300440.105258,0.0,,-5.913074474451619e-11,16.90253734588623
TotalEnergies,0.9,90%,True,13.661640090363742,2.3721867352951755,5365397128.492202,5112300440.105258,4.950739717905406,12.154834634627889,1143373.048642098,20.194580793380737
TotalEnergies,0.75,75%,True,13.661640090363742,1.9290283088194824,5392053987.355322,5112300440.105258,5.472165623433201,13.717098555195832,1180442.2488858337,19.489705801010132
TotalEnergies,0.5,50%,True,13.661640090363742,1.2014525632261406,5439866221.115207,5112300440.105258,6.407404745625711,14.433880500483866,1282593.3481584312,19.216987371444702
