location,year,firm,solar_mean,wind_mean,dunk_day,max_event,decision
Koln,2019,Shell/BP,0.09643915525114155,0.25787132420091324,0.0230875,72,Uncertain
Koln,2020,Shell/BP,0.136911301369863,0.29260502283105017,0.019666666666666666,59,Uncertain
Koln,2021,Shell/BP,0.13032100456621004,0.24807157534246574,0.008833333333333334,64,Uncertain
Rotterdam,2019,Shell,0.13213458904109587,0.36213207762557076,0.03725,45,Salt cavern
Rotterdam,2020,Shell,0.1335917808219178,0.39152465753424653,0.010083333333333333,67,Salt cavern
Rotterdam,2021,Shell,0.1283236301369863,0.34434178082191785,0.024958333333333332,62,Salt cavern
Tarragona,2019,Repsol,0.19683618721461188,0.32154269406392694,0.030583333333333334,63,Uncertain
Tarragona,2020,Repsol,0.18754349315068491,0.2881389269406393,0.020375,62,Uncertain
Tarragona,2021,Repsol,0.18360148401826484,0.29142716894977166,0.021458333333333333,55,Uncertain
Antwerp,2019,TotalEnergies,0.13205102739726027,0.33607568493150686,0.034583333333333334,31,Salt cavern
Antwerp,2020,TotalEnergies,0.13462237442922376,0.3604425799086758,0.022875000000000003,69,Salt cavern
Antwerp,2021,TotalEnergies,0.12863390410958905,0.31368778538812786,0.01891666666666667,63,Uncertain
Normandy,2019,TotalEnergies,0.1491689497716895,0.4929488584474886,0.05804166666666666,30,Salt cavern
Normandy,2020,TotalEnergies,0.15028527397260275,0.5211369863013698,0.03183333333333333,39,Salt cavern
Normandy,2021,TotalEnergies,0.15140639269406392,0.4753216894977169,0.02345833333333333,40,Salt cavern
Sannazzaro,2019,Eni,0.16065502283105024,0.14686221461187213,0.0065000000000000014,125,PEM oversize
Sannazzaro,2020,Eni,0.16012214611872144,0.12704292237442924,0.004791666666666666,338,PEM oversize
Sannazzaro,2021,Eni,0.1609832191780822,0.12702511415525114,0.004875,152,PEM oversize
